,rank_diff,prob
325,-108.0,0.112903225806
328,-109.0,0.0333333333333
331,-110.0,0.0869565217391
334,-111.0,0.0
337,-112.0,0.1
340,-113.0,0.0877192982456
343,-114.0,0.0892857142857
346,-115.0,0.0408163265306
349,-116.0,0.127659574468
352,-117.0,0.113636363636
355,-118.0,0.107142857143
358,-119.0,0.093023255814
361,-120.0,0.138888888889
364,-121.0,0.0731707317073
367,-122.0,0.0606060606061
370,-123.0,0.0333333333333
373,-124.0,0.0769230769231
376,-125.0,0.111111111111
379,-126.0,0.0333333333333
382,-127.0,0.0625
385,-128.0,0.0689655172414
388,-129.0,0.0
391,-130.0,0.0454545454545
394,-131.0,0.111111111111
397,-132.0,0.0769230769231
400,-133.0,0.0384615384615
403,-134.0,0.0
406,-135.0,0.0810810810811
409,-136.0,0.0833333333333
412,-137.0,0.115384615385
415,-138.0,0.0526315789474
418,-139.0,0.05
421,-140.0,0.117647058824
424,-141.0,0.117647058824
427,-142.0,0.0
430,-143.0,0.0
433,-144.0,0.0
436,-145.0,0.0588235294118
439,-146.0,0.0666666666667
442,-147.0,0.2
445,-148.0,0.111111111111
448,-149.0,0.0
451,-150.0,0.0833333333333
454,-151.0,0.0
457,-152.0,0.153846153846
460,-153.0,0.0
463,-154.0,0.0
466,-155.0,0.0
469,-156.0,0.0
472,-157.0,0.111111111111
475,-158.0,0.0
478,-159.0,0.0
481,-160.0,0.222222222222
484,-161.0,0.142857142857
487,-162.0,0.0
490,-163.0,0.25
493,-164.0,0.0
496,-165.0,0.166666666667
499,-166.0,0.25
502,-167.0,0.0
505,-168.0,0.142857142857
508,-169.0,0.142857142857
511,-170.0,0.0
514,-171.0,0.0
517,-172.0,0.166666666667
520,-173.0,0.0
523,-174.0,0.25
526,-176.0,0.0
529,-177.0,0.0
532,-178.0,0.0
535,-179.0,0.0
538,-180.0,0.0
541,-181.0,0.0
544,-182.0,0.0
547,-183.0,0.0
550,-184.0,0.0
553,-185.0,0.0
556,-186.0,0.0
559,-187.0,0.0
562,-188.0,0.0
565,-189.0,0.0
568,-190.0,0.0
571,-191.0,0.0
574,-192.0,0.0
577,-195.0,0.0
580,-196.0,0.0
583,-197.0,0.0
586,-198.0,0.0
589,-199.0,0.0
592,-200.0,0.0
595,-202.0,0.0
598,-203.0,0.0
