date,country,country_code,ranking,points,prev_points,prev_rank,confederation,pts_avg_1,pts_avg_wgt_1,pts_avg_2,pts_avg_wgt_2,pts_avg_3,pts_avg_wgt_3,pts_avg_4,pts_avg_wgt_4
2016-04-07,Ukraine,UKR,22,880(879.75),845,5,UEFA,467.03,467.03,312.37,156.18,594.92,178.48,390.29,78.06
2016-04-07,Croatia,CRO,23,856(855.61),965,-5,UEFA,382.82,382.82,524.25,262.13,268.93,80.68,649.93,129.99
2016-04-07,Wales,WAL,24,839(839.38),984,-7,UEFA,404.91,404.91,572.55,286.28,310.21,93.06,275.67,55.13
2016-04-07,Costa Rica,CRC,25,826(826.35),784,8,CONCACAF,304.31,304.31,629.32,314.66,456.00,136.80,352.89,70.58
2016-04-07,Northern Ireland,NIR,26,825(824.95),833,2,UEFA,477.71,477.71,486.34,243.17,255.07,76.52,137.75,27.55
2016-04-07,Poland,POL,27,821(821.5),789,4,UEFA,450.51,450.51,503.18,251.59,209.50,62.85,282.75,56.55
2016-04-07,Russia,RUS,27,821(821.13),892,-4,UEFA,419.66,419.66,358.27,179.14,372.08,111.63,553.52,110.70
2016-04-07,Czech Republic,CZE,29,810(809.99),861,-4,UEFA,357.67,357.67,543.62,271.81,311.87,93.56,434.77,86.95
2016-04-07,USA,USA,29,810(809.62),792,1,CONCACAF,385.31,385.31,306.89,153.45,640.42,192.13,393.69,78.74
2016-04-07,Republic of Ireland,IRL,31,792(792.45),809,-2,UEFA,553.91,553.91,289.38,144.69,160.33,48.10,228.81,45.76
2016-04-07,Slovakia,SVK,32,784(784.25),858,-6,UEFA,325.55,325.55,633.64,316.82,341.50,102.45,197.18,39.44
2016-04-07,Algeria,ALG,33,771(770.97),743,4,CAF,302.92,302.92,504.06,252.03,457.54,137.26,393.81,78.76
2016-04-07,C̫te d'Ivoire,CIV,34,738(738.38),744,2,CAF,294.49,294.49,485.12,242.56,326.26,97.88,517.23,103.45
2016-04-07,Iceland,ISL,35,724(724.13),741,3,UEFA,339.98,339.98,437.70,218.85,318.00,95.40,349.50,69.90
2016-04-07,Sweden,SWE,36,713(713.3),769,-2,UEFA,378.28,378.28,304.52,152.26,363.92,109.18,367.96,73.59
2016-04-07,Greece,GRE,37,695(694.68),718,2,UEFA,240.87,240.87,357.79,178.90,586.67,176.00,494.61,98.92
2016-04-07,Ghana,GHA,38,693(693.03),656,3,CAF,278.93,278.93,487.52,243.76,270.20,81.06,446.37,89.27
2016-04-07,Paraguay,PAR,39,690(689.66),642,4,CONMEBOL,495.29,495.29,148.71,74.35,232.57,69.77,251.23,50.25
2016-04-07,Scotland,SCO,40,687(687.32),617,5,UEFA,287.76,287.76,376.21,188.10,594.04,178.21,166.25,33.25
2016-04-07,Denmark,DEN,41,686(686.47),706,-1,UEFA,312.44,312.44,388.85,194.42,355.11,106.53,365.36,73.07
2016-04-07,Iran,IRN,42,672(672.3),627,2,AFC,321.98,321.98,336.87,168.43,439.32,131.80,250.48,50.10
2016-04-07,Senegal,SEN,43,651(651.48),603,5,CAF,267.91,267.91,512.51,256.26,270.76,81.23,230.41,46.08
2016-04-07,Egypt,EGY,44,648(647.52),589,9,CAF,323.98,323.98,208.42,104.21,582.67,174.80,222.65,44.53
2016-04-07,Albania,ALB,45,632(631.96),754,-10,UEFA,259.69,259.69,470.75,235.37,164.81,49.44,437.27,87.45
2016-04-07,Peru,PER,46,625(624.55),646,-4,CONMEBOL,372.92,372.92,183.44,91.72,281.73,84.52,376.97,75.39
